start,stop,duration
2020-05-10 08:30:00,2020-06-24 14:10:00,45 days 05:40:00
2020-07-29 08:42:00,2020-08-25 12:53:00,27 days 04:11:00
2019-10-11 04:00:00,2019-10-19 07:19:00,8 days 03:19:00
2020-03-31 12:01:00,2020-04-02 07:42:00,1 days 19:41:00
2020-01-17 17:22:00,2020-01-19 11:55:00,1 days 18:33:00
2019-11-17 03:05:00,2019-11-18 11:13:00,1 days 08:08:00
2020-03-13 02:58:00,2020-03-14 08:26:00,1 days 05:28:00
2020-07-11 22:12:00,2020-07-12 18:45:00,0 days 20:33:00
2020-03-11 18:02:00,2020-03-12 12:02:00,0 days 18:00:00
2020-04-27 16:02:00,2020-04-28 07:28:00,0 days 15:26:00
2020-06-24 17:41:00,2020-06-25 08:35:00,0 days 14:54:00
2020-03-23 12:59:00,2020-03-24 00:23:00,0 days 11:24:00
2020-07-17 23:19:00,2020-07-18 10:02:00,0 days 10:43:00
2019-11-19 22:52:00,2019-11-20 08:55:00,0 days 10:03:00
2019-11-27 19:39:00,2019-11-28 04:48:00,0 days 09:09:00
2019-11-20 20:18:00,2019-11-21 04:16:00,0 days 07:58:00
2019-11-18 21:42:00,2019-11-19 04:26:00,0 days 06:44:00
2019-11-26 23:19:00,2019-11-27 05:44:00,0 days 06:25:00
2019-11-22 22:29:00,2019-11-23 04:30:00,0 days 06:01:00
2020-07-17 02:11:00,2020-07-17 06:50:00,0 days 04:39:00
2019-11-25 00:41:00,2019-11-25 04:59:00,0 days 04:18:00
2019-11-25 06:38:00,2019-11-25 09:54:00,0 days 03:16:00
2020-03-11 14:46:00,2020-03-11 18:01:00,0 days 03:15:00
2020-02-13 05:30:00,2020-02-13 08:27:00,0 days 02:57:00
2020-04-20 05:54:00,2020-04-20 08:46:00,0 days 02:52:00
2020-04-02 11:59:00,2020-04-02 14:26:00,0 days 02:27:00
2020-07-16 09:12:00,2020-07-16 11:13:00,0 days 02:01:00
2019-11-26 04:05:00,2019-11-26 06:00:00,0 days 01:55:00
2020-06-27 05:55:00,2020-06-27 07:46:00,0 days 01:51:00
2020-07-14 05:35:00,2020-07-14 07:25:00,0 days 01:50:00
2020-04-04 07:55:00,2020-04-04 09:38:00,0 days 01:43:00
2020-01-15 06:43:00,2020-01-15 08:18:00,0 days 01:35:00
2020-04-07 14:51:00,2020-04-07 16:10:00,0 days 01:19:00
2020-06-25 19:20:00,2020-06-25 20:29:00,0 days 01:09:00
2020-09-16 09:06:00,2020-09-16 10:04:00,0 days 00:58:00
2019-12-11 07:33:00,2019-12-11 08:29:00,0 days 00:56:00
2019-12-10 06:57:00,2019-12-10 07:43:00,0 days 00:46:00
2020-09-13 09:14:00,2020-09-13 09:53:00,0 days 00:39:00
2019-11-28 12:06:00,2019-11-28 12:37:00,0 days 00:31:00
2019-11-23 11:03:00,2019-11-23 11:33:00,0 days 00:30:00
2020-07-14 15:01:00,2020-07-14 15:27:00,0 days 00:26:00
2020-03-31 10:14:00,2020-03-31 10:25:00,0 days 00:11:00
2019-11-21 11:23:00,2019-11-21 11:34:00,0 days 00:11:00
2020-06-26 14:12:00,2020-06-26 14:20:00,0 days 00:08:00
2019-11-20 09:50:00,2019-11-20 09:56:00,0 days 00:06:00
2019-11-19 11:15:00,2019-11-19 11:20:00,0 days 00:05:00
2020-05-09 09:01:00,2020-05-09 09:04:00,0 days 00:03:00
2020-05-09 09:07:00,2020-05-09 09:09:00,0 days 00:02:00
2020-05-07 07:34:00,2020-05-07 07:35:00,0 days 00:01:00
