start,stop,duration
2020-05-07 07:36:00,2020-06-27 00:00:00,50 days 16:24:00
2020-07-27 00:01:00,2020-08-26 00:00:00,29 days 23:59:00
2019-11-16 23:41:00,2019-11-25 00:00:00,8 days 00:19:00
2019-10-11 04:00:00,2019-10-15 00:00:00,3 days 20:00:00
2019-10-19 00:40:00,2019-10-22 00:00:00,2 days 23:20:00
2019-11-26 23:27:00,2019-11-29 00:00:00,2 days 00:33:00
2020-03-13 03:05:00,2020-03-15 00:00:00,1 days 20:55:00
2020-03-31 12:02:00,2020-04-02 00:00:00,1 days 11:58:00
2020-04-27 12:20:00,2020-04-29 00:00:00,1 days 11:40:00
2019-10-15 02:18:00,2019-10-16 05:37:00,1 days 03:19:00
2020-07-11 22:24:00,2020-07-13 00:00:00,1 days 01:36:00
2020-07-17 23:29:00,2020-07-19 00:00:00,1 days 00:31:00
2020-03-12 03:25:00,2020-03-12 14:18:00,0 days 10:53:00
2019-10-17 02:16:00,2019-10-17 07:21:00,0 days 05:05:00
2020-07-17 02:20:00,2020-07-17 06:54:00,0 days 04:34:00
2020-04-20 04:27:00,2020-04-20 08:44:00,0 days 04:17:00
2019-11-25 00:50:00,2019-11-25 04:48:00,0 days 03:58:00
2020-04-19 14:14:00,2020-04-19 17:55:00,0 days 03:41:00
2019-11-25 06:44:00,2019-11-25 09:37:00,0 days 02:53:00
2020-07-25 15:56:00,2020-07-25 18:34:00,0 days 02:38:00
2020-07-25 23:07:00,2020-07-26 01:36:00,0 days 02:29:00
2020-02-13 05:37:00,2020-02-13 08:02:00,0 days 02:25:00
2020-07-26 02:05:00,2020-07-26 04:12:00,0 days 02:07:00
2020-07-16 09:21:00,2020-07-16 11:16:00,0 days 01:55:00
2020-04-02 12:07:00,2020-04-02 14:02:00,0 days 01:55:00
2020-06-27 05:55:00,2020-06-27 07:49:00,0 days 01:54:00
2020-03-11 15:28:00,2020-03-11 17:18:00,0 days 01:50:00
2020-07-14 05:45:00,2020-07-14 07:29:00,0 days 01:44:00
2019-11-26 04:14:00,2019-11-26 05:40:00,0 days 01:26:00
2020-03-17 08:35:00,2020-03-17 09:52:00,0 days 01:17:00
2020-04-04 08:02:00,2020-04-04 09:18:00,0 days 01:16:00
2020-06-30 11:40:00,2020-06-30 12:53:00,0 days 01:13:00
2020-09-16 09:15:00,2020-09-16 10:07:00,0 days 00:52:00
2020-04-07 13:57:00,2020-04-07 14:45:00,0 days 00:48:00
2020-06-27 08:49:00,2020-06-27 09:36:00,0 days 00:47:00
2020-03-22 11:50:00,2020-03-22 12:34:00,0 days 00:44:00
2020-06-27 12:28:00,2020-06-27 13:11:00,0 days 00:43:00
2020-03-11 08:25:00,2020-03-11 08:57:00,0 days 00:32:00
2020-09-13 09:25:00,2020-09-13 09:56:00,0 days 00:31:00
