start,stop,duration
2020-05-11 00:00:00,2020-06-07 00:00:00,27 days 00:00:00
2020-07-30 00:00:00,2020-08-25 00:00:00,26 days 00:00:00
2020-06-08 00:00:00,2020-06-24 00:00:00,16 days 00:00:00
2019-10-11 04:00:00,2019-10-15 00:00:00,3 days 20:00:00
2020-07-27 00:01:00,2020-07-29 08:41:00,2 days 08:40:00
2020-05-07 07:37:00,2020-05-09 09:00:00,2 days 01:23:00
2020-04-01 00:00:00,2020-04-02 00:00:00,1 days 00:00:00
2020-05-09 09:10:00,2020-05-10 08:29:00,0 days 23:19:00
2020-04-28 07:30:00,2020-04-29 00:00:00,0 days 16:30:00
2020-07-18 10:04:00,2020-07-19 00:00:00,0 days 13:56:00
2020-03-14 11:27:00,2020-03-15 00:00:00,0 days 12:33:00
2020-08-25 14:54:00,2020-08-26 00:00:00,0 days 09:06:00
2020-06-26 06:37:00,2020-06-26 14:11:00,0 days 07:34:00
2020-07-12 18:47:00,2020-07-13 00:00:00,0 days 05:13:00
2020-06-25 22:37:00,2020-06-26 03:10:00,0 days 04:33:00
2020-06-25 10:52:00,2020-06-25 14:36:00,0 days 03:44:00
2020-04-27 12:20:00,2020-04-27 16:01:00,0 days 03:41:00
2020-04-19 14:14:00,2020-04-19 17:55:00,0 days 03:41:00
2020-03-12 09:53:00,2020-03-12 13:23:00,0 days 03:30:00
2019-10-17 02:16:00,2019-10-17 05:25:00,0 days 03:09:00
2020-06-26 03:32:00,2020-06-26 06:35:00,0 days 03:03:00
2020-03-14 08:28:00,2020-03-14 11:17:00,0 days 02:49:00
2020-06-25 16:38:00,2020-06-25 19:19:00,0 days 02:41:00
2019-10-19 01:36:00,2019-10-19 04:02:00,0 days 02:26:00
2020-08-25 12:55:00,2020-08-25 14:53:00,0 days 01:58:00
2020-06-25 08:38:00,2020-06-25 10:31:00,0 days 01:53:00
2020-09-18 04:00:00,2020-09-18 05:42:00,0 days 01:42:00
2020-04-20 04:27:00,2020-04-20 05:53:00,0 days 01:26:00
2020-06-25 15:09:00,2020-06-25 16:30:00,0 days 01:21:00
2020-06-25 20:31:00,2020-06-25 21:49:00,0 days 01:18:00
2020-03-17 08:35:00,2020-03-17 09:52:00,0 days 01:17:00
2020-06-30 11:40:00,2020-06-30 12:53:00,0 days 01:13:00
2020-06-26 17:55:00,2020-06-26 19:00:00,0 days 01:05:00
2020-06-26 19:15:00,2020-06-26 20:18:00,0 days 01:03:00
2020-04-11 01:15:00,2020-04-11 02:16:00,0 days 01:01:00
2020-04-21 22:31:00,2020-04-21 23:27:00,0 days 00:56:00
2020-04-12 01:22:00,2020-04-12 02:18:00,0 days 00:56:00
2020-03-12 13:24:00,2020-03-12 14:18:00,0 days 00:54:00
2020-09-10 19:50:00,2020-09-10 20:43:00,0 days 00:53:00
2020-04-12 05:33:00,2020-04-12 06:23:00,0 days 00:50:00
2020-06-24 16:52:00,2020-06-24 17:40:00,0 days 00:48:00
2020-06-27 08:49:00,2020-06-27 09:36:00,0 days 00:47:00
2020-06-26 14:51:00,2020-06-26 15:38:00,0 days 00:47:00
2020-09-11 03:00:00,2020-09-11 03:45:00,0 days 00:45:00
2020-06-27 12:28:00,2020-06-27 13:11:00,0 days 00:43:00
2020-06-26 23:18:00,2020-06-27 00:00:00,0 days 00:42:00
2020-06-25 21:50:00,2020-06-25 22:30:00,0 days 00:40:00
2020-06-24 14:59:00,2020-06-24 15:34:00,0 days 00:35:00
2020-06-24 14:18:00,2020-06-24 14:52:00,0 days 00:34:00
