start,stop,duration
2020-05-10 08:30:00,2020-06-26 12:54:00,47 days 04:24:00
2020-07-29 08:00:00,2020-08-25 12:53:00,27 days 04:53:00
2019-10-11 04:00:00,2019-10-16 05:21:00,5 days 01:21:00
2020-03-31 12:00:00,2020-04-02 07:41:00,1 days 19:41:00
2019-11-17 03:04:00,2019-11-18 11:12:00,1 days 08:08:00
2020-03-13 02:57:00,2020-03-14 08:26:00,1 days 05:29:00
2020-07-11 22:00:00,2020-07-12 18:46:00,0 days 20:46:00
2019-10-22 05:08:00,2019-10-22 23:33:00,0 days 18:25:00
2019-10-16 05:52:00,2019-10-16 23:38:00,0 days 17:46:00
2020-04-27 15:00:00,2020-04-28 07:28:00,0 days 16:28:00
2020-03-11 18:01:00,2020-03-12 09:52:00,0 days 15:51:00
2020-07-17 23:00:00,2020-07-18 10:02:00,0 days 11:02:00
2019-11-19 22:51:00,2019-11-20 08:53:00,0 days 10:02:00
2019-11-27 19:39:00,2019-11-28 04:36:00,0 days 08:57:00
2019-11-20 20:16:00,2019-11-21 04:06:00,0 days 07:50:00
2019-11-18 21:41:00,2019-11-19 03:59:00,0 days 06:18:00
2019-11-22 22:28:00,2019-11-23 04:20:00,0 days 05:52:00
2019-11-26 23:18:00,2019-11-27 04:58:00,0 days 05:40:00
2020-07-17 02:10:00,2020-07-17 06:51:00,0 days 04:41:00
2019-11-25 00:41:00,2019-11-25 04:52:00,0 days 04:11:00
2019-11-16 13:59:00,2019-11-16 17:09:00,0 days 03:10:00
2019-10-22 01:33:00,2019-10-22 04:42:00,0 days 03:09:00
2019-11-25 06:37:00,2019-11-25 09:35:00,0 days 02:58:00
2020-04-20 05:54:00,2020-04-20 08:45:00,0 days 02:51:00
2020-03-11 14:45:00,2020-03-11 17:35:00,0 days 02:50:00
2020-02-13 05:29:00,2020-02-13 08:01:00,0 days 02:32:00
2020-07-16 09:11:00,2020-07-16 11:13:00,0 days 02:02:00
2020-04-02 11:59:00,2020-04-02 14:00:00,0 days 02:01:00
2020-06-27 05:54:00,2020-06-27 07:46:00,0 days 01:52:00
2020-07-14 05:35:00,2020-07-14 07:26:00,0 days 01:51:00
2019-11-26 04:05:00,2019-11-26 05:38:00,0 days 01:33:00
2020-04-04 07:55:00,2020-04-04 09:15:00,0 days 01:20:00
2020-01-15 06:43:00,2020-01-15 07:55:00,0 days 01:12:00
2020-02-15 10:00:00,2020-02-15 11:00:00,0 days 01:00:00
2020-09-16 09:05:00,2020-09-16 10:04:00,0 days 00:59:00
2019-10-16 23:39:00,2019-10-17 00:37:00,0 days 00:58:00
2020-02-21 10:03:00,2020-02-21 11:00:00,0 days 00:57:00
2020-04-07 14:50:00,2020-04-07 15:43:00,0 days 00:53:00
2020-03-18 13:17:00,2020-03-18 14:00:00,0 days 00:43:00
2020-09-13 09:13:00,2020-09-13 09:53:00,0 days 00:40:00
2019-12-11 07:32:00,2019-12-11 08:11:00,0 days 00:39:00
2019-12-10 06:55:00,2019-12-10 07:32:00,0 days 00:37:00
2019-11-16 17:39:00,2019-11-16 18:14:00,0 days 00:35:00
2020-04-16 00:33:00,2020-04-16 01:05:00,0 days 00:32:00
2020-07-14 15:01:00,2020-07-14 15:27:00,0 days 00:26:00
